Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
Argentina,1054,820,745,690,589,502,387,387,301,266,158,128,97,79,68,56,45,34,31,19,19,17,12,12,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,926,879,844,802,732,683,631,558,509,455,432,385,345,313,266,243,226,212,200,178,178,160,150,150,138,130,117,110,110,108,106,102,93,93,93,91,89,89,85,85,84,84,81,77,75,72,67,58,50,47,45,40,33,30,28,28,24,18,18,16,13,10,7,7,5,4,3,3,1,0
Colombia,906,798,702,608,539,491,470,378,277,231,196,128,102,93,65,54,34,22,13,9,9,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,900,785,741,659,457,384,384,303,249,222,171,135,103,83,65,55,48,46,35,19,12,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,867,790,713,657,586,495,442,382,315,254,206,128,105,81,65,57,49,38,32,19,19,14,12,12,12,11,10,10,9,7,7,6,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,802,756,730,684,632,562,528,480,442,414,383,341,286,275,275,253,219,181,141,89,57,31,16,16,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,781,693,634,590,562,549,537,526,501,494,481,470,460,452,439,439,401,337,320,262,262,24,18,15,8,8,8,8,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,745,715,679,645,575,538,404,369,352,326,306,283,267,258,225,205,171,115,79,16,16,12,10,10,10,10,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,716,584,511,454,409,367,302,264,230,201,139,90,87,74,60,54,48,37,26,24,20,20,20,19,17,17,12,12,5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,705,705,705,705,705,705,691,691,691,634,634,634,621,542,454,355,285,218,175,175,135,135,64,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
